source_code,sku,status,quantity
051,9788416327812,1,6
051,9788416327829,1,0
051,9788416858682,1,0
051,9788417390624,1,4
051,9788417694531,1,0
051,9788417773410,1,8
051,9788417834616,1,0
051,9788417854379,1,0
051,9788418002502,1,6
051,9788418002519,1,5
056,9786123191184,1,1
056,9786124245176,1,4
056,9786124268199,1,2
056,9786124346705,1,0
061,9788418002649,1,0
061,9788418359835,1,1
061,9788497945042,1,1
061,9788497945301,1,0
066,9788411274135,1,7
066,9788418359842,1,0
073,9781404117150,1,4
073,9786075277851,1,0
102,9786124266911,1,22
102,9786124284229,1,0
102,9786124327339,1,5
102,9786124346576,1,0
102,9786124346705,1,1
102,9786124349157,1,0
102,9786124414237,1,2
102,9786124442469,1,5
102,9786124442599,1,7
102,9786124450082,1,0
102,9786124461187,1,9
102,9786124772252,1,0
102,9786287583061,1,16
105,9788427299870,1,2
105,9788439732471,1,3
200,8437018346080,1,1
200,84-931243-0-3,1,0
200,84-9759-924-1,1,1
200,9781400235926,1,4
200,9781400238415,1,9
200,9781404117150,1,23
200,9781418599942,1,8
200,9781433648656,1,0
200,9781441337610,1,1
051,9786125044112,1,1
051,9786125054302,1,0
051,9786125060150,1,1
051,9786280001661,1,3
051,9786280003115,1,7
051,9788403522633,1,5
051,9788408167167,1,3
051,9788408233107,1,1
051,9788408249283,1,0
051,9788411274135,1,11
051,9788412365597,1,2
051,9788413843988,1,0
051,9788414016930,1,2
051,9788414034026,1,0
051,9788414035184,1,1
055,9788499138336,1,5
055,9789566145073,1,0
055,9789874924995,1,3
055,9789876371759,1,0
055,9789877389975,1,1
055,9789877977752,1,2
055,9789878940205,1,3
055,9789915651712,1,2
055,9789915651736,1,2
055,9789915651859,1,2
055,9789974894495,1,3
055,9789974904248,1,0
061,9786124245206,1,1
061,9786124346644,1,2
061,9786287583061,1,1
061,9788414036815,1,0
061,9788417390631,1,4
066,9786123197308,1,2
066,9786123197889,1,4
066,9786124245244,1,1
066,9786124290879,1,1
066,9786124426421,1,2
066,9786124442476,1,6
066,9786124896606,1,18
072,9789873820977,1,2
072,9789874924971,1,2
072,9789874924995,1,3
072,9789877363432,1,5
072,9789877384147,1,14
072,9789877478792,1,26
072,9789974894723,1,1
073,2050205000334,1,7
073,5055394015302,1,2
073,5055394015319,1,1
073,673807665095,1,4
073,7751035006767,1,0
073,819844017996,1,5
102,9780451205360,1,0
102,9781404117150,1,0
102,9781418599942,1,3
102,9786073160643,1,0
102,9786073188999,1,0
102,9786073193894,1,3
102,9786073193931,1,5
102,9786075276915,1,0
105,9788417963309,1,2
105,9788418172403,1,0
105,9788418733246,1,2
109,9789877975994,1,6
109,9789878120058,1,1
109,9789878120119,1,4
109,9789878120256,1,1
109,9789878120676,1,3
109,9789878453224,1,3
109,9789878940144,1,24
200,2050205000280,1,2
200,2050205000297,1,16
200,2050205000310,1,0
200,2050205000327,1,17
200,2050205000334,1,16
200,3665361037347,1,2
200,4895205604261,1,3
200,5035393405021,1,10
200,5035393450069,1,2
200,673807665507,1,7
200,6936352501770,1,4
200,6936352540144,1,9
200,6944588200947,1,1
200,6944588208332,1,2
