source_code,sku,status,quantity
601,6944588208325,1,2
601,6944588209810,1,2
601,745853003128,1,25
601,7756444000498,1,2
601,9786077474913,1,4
601,9786123195830,1,1
601,9786124249266,1,3
601,9786124249327,1,3
601,9786124249334,1,3
601,9786280003672,1,8
601,9788408229964,1,2
601,9788418271434,1,10
601,9788445007150,1,1
601,9788466239455,1,16
601,9788499424736,1,2
601,9789563500943,1,3
601,9789584271563,1,2
601,9789584280428,1,5
601,9789877973914,1,2
601,0-14-118461-2,1,1
601,0-333-67493-6,1,1
601,0-333-77214-8,1,1
601,0-333-77215-6,1,1
601,040232318016,1,1
601,040232318030,1,1
601,040232343216,1,3
601,040232343247,1,5
601,040232343261,1,4
601,040232343278,1,5
601,040232427596,1,5
601,040232427602,1,10
601,040232427619,1,14
601,040232452147,1,2
601,040232452154,1,2
601,040232452161,1,2
601,040232479731,1,3
601,0-439-92277-1,1,1
601,062255778103,1,1
601,0644925481591,1,3
601,0644925481607,1,2
601,0659525546977,1,10
601,0685071531334,1,2
601,0-7460-6646-5,1,2
601,0-7475-8935-8,1,1
601,0781159570773,1,5
601,0-7869-1989-2,1,1
601,0798190117621,1,1
601,0798190197302,1,1
601,0798190197319,1,1
601,0798190197326,1,1
601,0798190199580,1,3
601,0798190200088,1,4
601,0798190200095,1,5
601,0-86411-383-8,1,1
601,0-86411-706-X,1,1
601,0-88113-558-5,1,2
601,0-88113-564-X,1,1
601,0-88113-737-5,1,2
601,0-8811-3809-6,1,2
601,0-89922-023-1,1,3
601,0-9710148-0-9,1,2
601,0-9710148-2-5,1,1
601,0-9710148-3-1,1,1
601,0-9710148-3-3,1,1
601,0-9710148-4-1,1,2
601,0-9710148-6-8,1,1
601,0-9710148-8-4,1,2
601,1000204874110,1,1
601,1001001000386,1,1
601,1201700072819,1,4
601,1-405-00959-4,1,2
601,1-405-07236-9,1,1
601,1-4050-7684-5,1,1
601,1-4054-9203-4,1,2
601,1-4075-1682-1,1,1
601,1-4075-7217-8,1,3
601,1-4127-0166-X,1,2
601,1-4127-3516-5,1,3
601,1-4127-6126-3,1,1
601,1-6070381-08-7,1,4
601,1-891079-66-2,1,1
601,2000133301106,1,1
601,2001251165445,1,1
601,2001358749553,1,1
601,2002511002405,1,3
601,2009-03082,1,5
601,2011035450151,1,1
601,2017000726,1,5
601,2017000727,1,3
601,2017000729,1,3
601,2017201701485,1,2
601,2017201701489,1,1
601,2017201701491,1,2
601,2017201701496,1,1
601,2017201701499,1,1
601,2017201701506,1,1
601,2017201701509,1,1
601,2017201701512,1,1
601,2019001035,1,6
601,2019001036,1,1
601,2020000637,1,4
601,2020000638,1,4
601,2021000841,1,10
601,2022202230144,1,23
601,2050182500114,1,1
601,2050205000036,1,1
601,2050205000075,1,16
601,2050205000273,1,1
601,2050205000280,1,18
601,2050205000297,1,95
601,2050205000303,1,14
601,2050205000310,1,10
601,2050205000327,1,23
601,2050205000334,1,31
601,2050205000402,1,12
601,2050205000501,1,38
601,2050205002022,1,1
601,2050205005001,1,8
601,2050205100002,1,1
601,2050205100004,1,1
601,2051481518781,1,1
601,2051481518782,1,1
601,2051481518866,1,1
601,2051481518898,1,1
601,2060786909112,1,2
601,2100162220011,1,4
601,3421271401728,1,2
601,3421273302085,1,1
601,3421273323219,1,3
601,3421273323318,1,3
601,3421273415563,1,5
601,3664824000829,1,6
601,3665361005377,1,4
601,3665361005407,1,3
601,3665361007449,1,2
601,3665361007623,1,5
601,3665361010494,1,1
601,3665361011477,1,5
601,3665361012504,1,3
601,3665361013488,1,3
601,3665361015833,1,1
601,3665361016120,1,3
601,3665361016212,1,1
601,3665361017769,1,1
601,3665361018230,1,1
601,3665361018247,1,5
601,3665361019121,1,3
601,3665361021681,1,5
601,3665361022237,1,2
601,3665361022268,1,2
601,3665361026846,1,1
601,3665361028024,1,2
601,3665361028659,1,1
601,3665361029083,1,6
601,3665361030584,1,6
601,3665361030850,1,4
601,3665361034506,1,5
601,3665361035473,1,9
601,3665361035497,1,3
601,3665361037347,1,12
601,3665361037651,1,1
601,3665361038634,1,9
601,3665361040187,1,4
601,3665361042815,1,5
601,3665361042822,1,1
601,3665361052944,1,2
601,3665361052982,1,3
601,3665361053064,1,4
601,3665361057420,1,2
601,3665361058182,1,7
601,3665361058519,1,2
601,3665361058533,1,4
601,3665361058694,1,2
601,3665361060239,1,7
601,3665361062646,1,5
601,3665361062929,1,5
601,3665361062936,1,9
601,3665361062943,1,5
601,3700789200604,1,1
601,3700789215615,1,2
601,3700789215639,1,3
601,3700789216001,1,3
601,3700789216032,1,4
601,3700789219750,1,2
601,3700789220855,1,4
601,3700789254188,1,2
601,3700789255888,1,2
601,3700789256007,1,10
601,3700789256038,1,3
601,3700789256113,1,2
601,3700789256151,1,4
601,3700789267485,1,6
601,3700789267911,1,1
601,3700789267942,1,3
601,3700789270706,1,3
601,3700789274384,1,4
601,3700789281993,1,3
601,3719272090820,1,2
601,3760166560073,1,4
601,3760166560080,1,1
601,3760166560097,1,2
601,3760166560127,1,3
601,3760166560585,1,5
601,3760166566440,1,10
601,3760166566471,1,2
601,3760166566488,1,2
601,3760166567157,1,2
601,3760166567355,1,4
601,3760166567362,1,2
601,3760166568291,1,5
601,3760166568307,1,6
601,3760166568314,1,4
601,3760166568338,1,2
601,3760166568345,1,2
601,3760166569755,1,3
601,3760166569762,1,1
601,3770005884000,1,5
601,3770005884017,1,8
601,3770005884031,1,2
601,3-8228-5807-2,1,3
601,3-8228-5808-0,1,22
601,3-8228-5811-0,1,14
601,3-8228-5818-8,1,22
601,3-8228-6191-X,1,13
601,3-8228-6551-6,1,2
601,3-8331-3756-3,1,2
601,4007817011058,1,4
601,4007817042922,1,1
601,4007817042960,1,3
601,4007817051887,1,4
601,4007817051993,1,4
601,4007817052228,1,3
601,4007817055595,1,4
601,4007817057070,1,14
601,4007817157077,1,15
601,4007817334010,1,15
601,4007817334102,1,12
601,4007817336007,1,12
601,4007817340196,1,9
601,4007817403280,1,10
601,4007817774182,1,10
601,4007817832066,1,18
601,4050847004705,1,2
601,4781411709671,1,2
601,4815123000013,1,2
601,4815123000587,1,1
601,4820184120686,1,5
601,4820184120969,1,5
601,4820184121010,1,5
601,4820184121096,1,5
601,4820184121133,1,4
601,4891505000017,1,1
601,4891505000062,1,2
601,4891505000147,1,1
601,4891505000154,1,3
601,4891505000260,1,1
601,4891505000277,1,1
601,4891505000291,1,1
601,4891505000314,1,1
601,4891505000321,1,2
601,4891505000369,1,1
601,4891505000376,1,1
601,4891505000413,1,1
601,4891505000444,1,1
601,4891505000482,1,1
601,4891505000499,1,2
601,4891505000505,1,1
601,4891505000529,1,2
601,4891505000673,1,2
601,4891505000680,1,2
601,4891505000727,1,2
601,4891505000758,1,1
601,4891505000789,1,1
601,4891505000857,1,2
601,4891505000864,1,1
601,4891505000888,1,2
601,4891505000895,1,1
601,4891505000901,1,1
601,4891505000918,1,2
601,4891505000925,1,2
601,4891505000932,1,2
601,4891505000949,1,2
601,4891505000963,1,2
601,4891505000970,1,2
601,4891505005036,1,5
601,4891505005111,1,2
601,4891505005173,1,4
601,4891505005180,1,3
601,4891505568081,1,1
601,4891505800068,1,2
601,4891505800075,1,4
601,4891505800082,1,2
601,4891505800129,1,2
601,4891505805025,1,2
601,4891505805049,1,2
601,4891505805179,1,4
601,4891505805186,1,5
601,4891505805209,1,4
601,4891505805230,1,5
601,4891505805261,1,2
601,4891505805292,1,1
601,4891505805322,1,3
601,4891505805384,1,1
601,4891505805469,1,5
601,4891505805476,1,2
601,4891505805490,1,2
601,4891505805513,1,4
601,4891505805520,1,2
601,4891505805551,1,3
601,4891505805575,1,2
601,4891505805612,1,2
601,4891505805629,1,2
601,4891505805803,1,3
601,4891505805810,1,5
601,4891505805827,1,2
601,4891505805834,1,4
601,4891505805841,1,4
601,4891505805858,1,4
601,4891505805872,1,1
601,4891505805902,1,2
601,4891505805919,1,1
601,4891505805926,1,6
601,4891505805957,1,5
601,4891505805964,1,1
601,4891505805971,1,2
601,4891505805988,1,7
601,4891505805995,1,5
601,4891505806077,1,7
601,4891505806091,1,5
601,4891505806107,1,5
601,4891505806121,1,6
601,4891505806145,1,8
601,4891505806152,1,6
601,4891505806169,1,2
601,4891505806176,1,7
601,4891505806206,1,6
601,4891505806220,1,8
601,4891505809016,1,4
601,4891505809030,1,5
601,4891505809061,1,4
601,4891505809085,1,4
601,4891505809160,1,2
601,4891505809177,1,1
601,4891505809191,1,1
601,4891505809207,1,4
601,4891505809214,1,2
601,4891505809221,1,6
601,4891505809245,1,7
601,4891505809320,1,2
601,4891505809337,1,2
601,4891505809368,1,5
601,4891505809375,1,4
601,4891505809382,1,4
601,4891505809399,1,2
601,4891505810036,1,3
601,4891505810043,1,2
601,4891505810050,1,7
601,4891505810074,1,3
601,4891505810104,1,2
601,4891505810111,1,8
601,4891505810135,1,2
601,4891505810159,1,2
601,4891505810258,1,1
601,4891505810326,1,3
601,4891505810357,1,1
601,4891505810388,1,1
601,4891505810487,1,3
601,4891505810562,1,6
601,4891505810579,1,6
601,4891505810586,1,9
601,4891505810623,1,3
601,4891505810647,1,2
601,4891505810753,1,3
601,4891505810784,1,4
601,4891505810791,1,1
601,4891505810807,1,2
601,4891505810814,1,3
601,4891505811002,1,2
601,4891505811064,1,4
601,4891505811170,1,2
601,4891505811187,1,5
601,4891505811194,1,8
601,4891505811200,1,3
601,4891505811224,1,3
601,4891505811231,1,4
601,4891505811248,1,2
