source_code,sku,status,quantity
051,9786070709548,1,4
051,9786073141727,1,1
051,9786073177467,1,2
051,9786073800211,1,1
051,9786073805735,1,1
051,9786124270239,1,1
051,9786124272370,1,1
051,9788417821869,1,1
051,9788417922306,1,1
051,9788418483042,1,2
051,9788498722918,1,1
104,5055394016958,1,1
104,6944588202460,1,1
104,7756444000436,1,4
104,9781404117150,1,9
104,9786123194154,1,1
104,9786124249419,1,2
104,9788408147794,1,2
104,9788417963552,1,4
104,9788445012796,1,2
104,9788445013144,1,1
104,9788466344180,1,2
104,9788466359375,1,2
104,9788467940657,1,1
104,9789871138043,1,2
104,9789878120348,1,2
104,9789974904224,1,7
105,5055394015531,1,3
105,5055394016958,1,3
105,5055394022584,1,4
105,9786124442285,1,1
105,9786124442377,1,1
105,9786124463181,1,1
105,9786124498015,1,3
105,9786124758188,1,1
105,9786125020086,1,4
105,9788416858804,1,2
105,9788418271434,1,4
105,9788425432026,1,1
105,9788466239455,1,6
105,9788466240444,1,7
105,9788466241069,1,5
105,9788466241076,1,5
105,9788497944656,1,1
105,9788497944670,1,3
105,9788497944793,1,3
105,9789878120201,1,1
109,6944588200947,1,2
109,6944588205195,1,1
109,6944588208332,1,2
109,6944588209735,1,11
109,6944588209995,1,3
109,6944588216177,1,3
109,6944588240127,1,1
109,6944588240257,1,3
109,9786073815215,1,3
109,9786073815697,1,4
109,9786124275043,1,2
109,9788401024443,1,1
109,9788417910501,1,2
109,9788425358159,1,2
109,9788491991465,1,1
109,9789877254877,1,4
200,4891505840323,1,1
200,6944588200442,1,8
200,6944588200534,1,1
200,6944588202385,1,2
200,6944588202415,1,1
200,6944588202422,1,2
200,6944588202446,1,3
200,6944588202460,1,5
200,6944588205072,1,2
200,6944588205270,1,1
200,6944588209735,1,9
200,6944588209797,1,2
200,6944588209810,1,5
200,6944588209841,1,8
200,6944588240356,1,1
200,9786070759062,1,1
200,9786071134196,1,2
200,9786073120333,1,1
200,9786075690742,1,3
200,9786077473152,1,1
200,9786123190767,1,3
200,9786123192631,1,2
200,9786123193409,1,7
200,9786123197117,1,3
200,9786124269042,1,1
200,9786124271588,1,1
200,9786124336164,1,2
200,9786124350221,1,2
200,9786124463068,1,8
200,9786124463150,1,2
200,9786124463389,1,1
200,9786280003320,1,7
200,9788408128373,1,5
200,9788408169338,1,5
200,9788408178408,1,1
200,9788408222804,1,3
200,9788413141411,1,5
200,9788418007743,1,9
200,9788418271434,1,12
200,9788418796128,1,2
200,9788426410412,1,2
200,9788430622030,1,1
200,9788445009710,1,1
200,9788445012789,1,4
200,9788466333788,1,2
200,9788490430323,1,4
200,9788498389449,1,3
200,9789584248237,1,1
200,9789584258816,1,3
200,9789584275097,1,1
200,9789877253375,1,1
200,9789877254396,1,2
200,9789877390889,1,3
200,9789877517545,1,5
200,9789877973938,1,1
200,9789878120232,1,19
209,5055394016958,1,9
209,6944588205270,1,3
209,6944588205317,1,1
209,6944588209735,1,14
209,6944588209797,1,2
209,6944588209810,1,3
209,6944588216177,1,3
209,6944588240196,1,3
209,6944588240257,1,9
209,6944588240264,1,4
209,84-9777-060-9,1,1
209,9786123194796,1,8
209,9786124181634,1,7
209,9786124327247,1,1
209,9786124431067,1,1
209,9786287568211,1,1
209,9786287568419,1,8
209,9788408147794,1,2
209,9788408254874,1,9
209,9788445012796,1,7
300,3665361011477,1,1
300,3665361022237,1,2
300,3665361038634,1,1
300,3665361040187,1,2
300,3665361058182,1,2
300,3665361062943,1,2
300,3760166569755,1,1
300,4895205600119,1,1
300,4895205601345,1,5
300,4895205601567,1,7
300,4895205606166,1,1
300,4895205608702,1,2
300,5035393407032,1,2
300,5035393407056,1,2
300,5035393407063,1,1
300,5035393407322,1,2
300,5035393407360,1,3
300,5055394015531,1,11
300,5055394016958,1,11
300,5055394023307,1,1
300,6944588200947,1,8
300,6944588202415,1,6
300,6944588202446,1,2
300,6944588205089,1,1
300,6944588205270,1,1
300,6944588205300,1,1
300,6944588205317,1,2
300,6944588209735,1,20
300,6944588209797,1,4
300,6944588209841,1,9
300,6944588209865,1,4
300,6944588240110,1,2
300,6944588240196,1,6
300,6944588240257,1,7
300,6944588240264,1,5
300,6944588240356,1,6
300,8051272892734,1,3
300,819065022540,1,2
300,819844012236,1,1
300,9781503756854,1,1
300,9786075325989,1,1
300,9786077478652,1,3
300,9786123191184,1,4
300,9786123193409,1,3
300,9786123195601,1,3
300,9786123196158,1,3
300,9786123196233,1,5
300,9786123197452,1,11
300,9786124181962,1,2
300,9786124269134,1,2
300,9786124272769,1,2
300,9786124305641,1,5
300,9786124379680,1,5
300,9786124431081,1,3
300,9786124450075,1,2
300,9786124450365,1,2
