source_code,sku,status,quantity
105,9786123051723,1,3
105,9786123051815,1,2
105,9786123051822,1,6
105,9786123051839,1,1
105,9786123051846,1,2
105,9786123051860,1,1
105,9786123051884,1,7
105,9786123051907,1,2
105,9786123173807,1,2
105,9786123176310,1,5
105,9786123176341,1,2
105,9786123176372,1,3
105,9786123176945,1,1
105,9786123177119,1,4
105,9786123177188,1,1
105,9786123177256,1,1
105,9786123177294,1,3
105,9786123177300,1,2
105,9786123177393,1,2
105,9786123177416,1,1
105,9786123177461,1,7
105,9786123177478,1,4
105,9786123177515,1,2
105,9786123177560,1,1
105,9786123177591,1,2
105,9786123177621,1,2
105,9786123177645,1,2
105,9786123177973,1,2
105,9786123190095,1,3
105,9786123190101,1,3
105,9786123190781,1,1
105,9786123191177,1,5
105,9786123191184,1,1
105,9786123191351,1,3
105,9786123191368,1,1
105,9786123191429,1,4
105,9786123191474,1,1
105,9786123191832,1,1
105,9786123192020,1,3
105,9786123192297,1,2
105,9786123193546,1,1
105,9786123193713,1,2
105,9786123194178,1,1
105,9786123194253,1,5
105,9786123194444,1,3
105,9786123194451,1,1
105,9786123195304,1,5
105,9786123195557,1,1
105,9786123195632,1,1
105,9786123195724,1,2
105,9786123196042,1,1
105,9786123196158,1,1
105,9786123196172,1,1
105,9786123196233,1,1
105,9786123196257,1,1
105,9786123196387,1,1
105,9786123196431,1,1
105,9786123196646,1,3
105,9786123196714,1,3
105,9786123196837,1,3
105,9786123196998,1,1
105,9786123197001,1,2
105,9786123197018,1,1
105,9786123197148,1,2
105,9786123197223,1,2
105,9786123197278,1,1
105,9786123197339,1,1
105,9786123197391,1,5
105,9786123197421,1,1
105,9786123197445,1,3
105,9786123197452,1,4
105,9786123197483,1,2
105,9786123197520,1,2
105,9786123197537,1,24
105,9786123197544,1,9
105,9786123197568,1,7
105,9786123197582,1,3
105,9786123197599,1,2
105,9786123197605,1,3
105,9786123197667,1,13
105,9786123197698,1,3
105,9786123197711,1,5
105,9786123197735,1,2
105,9786123197742,1,6
105,9786123197759,1,5
105,9786123197797,1,10
105,9786123197810,1,4
105,9786123197827,1,12
105,9786123197834,1,12
105,9786123197865,1,3
105,9786123197872,1,5
105,9786123197889,1,14
105,9786123197896,1,2
105,9786123197902,1,5
105,9786123197940,1,4
105,9786123197957,1,11
105,9786123197995,1,9
105,9786123261580,1,6
105,9786123261665,1,6
105,9786123261689,1,1
105,9786123261733,1,2
105,9786123261764,1,3
105,9786123261825,1,7
105,9786123261849,1,2
105,9786123261856,1,3
105,9786123310059,1,1
105,9786123310073,1,2
105,9786123310097,1,1
105,9786123310127,1,2
105,978-612-4017-21-6,1,3
105,9786124017452,1,3
105,9786124110931,1,2
105,9786124164774,1,4
105,9786124181412,1,3
105,9786124181429,1,9
105,9786124181504,1,2
105,9786124181634,1,4
105,9786124181733,1,1
105,9786124201585,1,10
105,9786124201592,1,6
105,9786124201608,1,6
105,9786124201615,1,10
105,9786124201646,1,5
105,9786124201653,1,10
105,9786124230660,1,2
105,9786124244445,1,1
105,9786124244988,1,1
105,9786124245169,1,27
105,9786124245176,1,22
105,9786124245183,1,17
105,9786124245190,1,18
105,9786124245206,1,20
105,9786124245220,1,13
105,9786124245244,1,3
105,9786124247446,1,5
105,9786124247552,1,1
105,9786124247606,1,1
105,9786124247620,1,1
105,9786124249303,1,2
105,9786124249365,1,2
105,9786124249419,1,5
105,9786124256134,1,9
105,9786124256141,1,1
105,9786124256233,1,2
105,9786124256325,1,2
105,9786124256332,1,6
105,9786124256363,1,6
105,9786124256424,1,7
105,978612425902,1,2
105,9786124262098,1,1
105,9786124262197,1,7
105,9786124262234,1,4
105,9786124262241,1,6
105,9786124262708,1,3
105,9786124262746,1,10
105,9786124262791,1,5
105,9786124264818,1,4
105,9786124264849,1,4
105,9786124264931,1,1
105,9786124264986,1,1
105,9786124264993,1,1
105,9786124266874,1,9
105,9786124266911,1,34
105,9786124267154,1,5
105,9786124267215,1,1
105,9786124268199,1,3
105,9786124269127,1,11
105,9786124269202,1,2
105,9786124269233,1,2
105,9786124269264,1,17
105,9786124269301,1,19
105,9786124269318,1,3
105,9786124270093,1,2
105,9786124270406,1,4
105,9786124270437,1,8
105,9786124270451,1,2
105,9786124271328,1,1
105,9786124271595,1,2
105,9786124272332,1,6
105,9786124272387,1,4
105,9786124272486,1,2
105,9786124272639,1,2
105,9786124272738,1,1
105,9786124272769,1,5
105,9786124272844,1,3
105,9786124272875,1,2
105,9786124272905,1,2
105,9786124272912,1,10
105,9786124272974,1,2
105,9786124272981,1,5
105,9786124275210,1,3
105,9786124275234,1,4
105,9786124275265,1,4
105,9786124284175,1,20
105,9786124284229,1,27
105,9786124290244,1,3
105,9786124290381,1,17
105,9786124290411,1,5
105,9786124290466,1,2
105,9786124290602,1,7
105,9786124290640,1,8
105,9786124290695,1,7
105,9786124290718,0,0
105,9786124290794,1,15
105,9786124290800,1,1
105,9786124290817,1,1
105,9786124290855,1,4
105,9786124290879,1,2
105,9786124305047,1,1
105,9786124305719,1,4
105,9786124305801,1,9
105,9786124313196,1,1
105,9786124326059,1,2
105,9786124327230,1,3
105,9786124327247,1,5
105,9786124327339,1,5
105,9786124327360,1,2
105,9786124327391,1,1
105,9786124327421,1,1
105,9786124336010,1,1
105,9786124336065,1,1
105,9786124346040,1,1
105,9786124346392,1,1
105,9786124346576,1,5
105,9786124346644,1,6
105,9786124346699,1,2
105,9786124346965,1,1
105,9786124349164,1,8
105,9786124349201,1,3
105,9786124349218,1,7
105,9786124349560,1,1
105,9786124349584,1,2
105,9786124349935,1,1
105,9786124350085,1,9
105,9786124350375,1,1
105,9786124350382,1,3
105,9786124350412,1,3
105,9786124350436,1,2
105,9786124350450,1,5
105,9786124350467,1,4
105,9786124350474,1,3
